name,category,location,lat,lng,polarity,numReviews,monthly_reviews,review_variance
Café Brassac,restaurant,Paris,48.869019,2.291908,6,15,"[1, 1, 1, 2, 4, 0, 1, 1, 0, 0, 3, 1]",1.3541666666666667
Berko,restaurant,Paris,48.885594,2.33439,6,15,"[2, 2, 2, 0, 1, 2, 0, 1, 1, 1, 1, 2]",0.5208333333333334
Le comptoir des Arts,restaurant,Paris,48.840303,2.351477,6,15,"[0, 0, 0, 0, 1, 2, 1, 2, 2, 3, 3, 1]",1.1875
Paradis Thai,restaurant,Paris,48.826254,2.3587,6,15,"[1, 1, 1, 1, 2, 0, 2, 1, 2, 0, 0, 4]",1.1875
Le Progrès,restaurant,Paris,48.885464,2.316578,6,15,"[1, 1, 2, 1, 2, 1, 1, 0, 2, 2, 0, 2]",0.5208333333333334
Le Quai,restaurant,Paris,48.861385,2.324835,6,15,"[0, 0, 0, 0, 2, 3, 3, 1, 5, 0, 1, 0]",2.5208333333333335
Café Le Luxembourg,restaurant,Paris,48.847565,2.340813,6,15,"[1, 1, 0, 0, 1, 1, 1, 4, 1, 4, 1, 0]",1.6875
Okito,restaurant,Paris,48.852904,2.28674,6,15,"[2, 2, 2, 0, 0, 2, 3, 1, 2, 0, 0, 1]",1.0208333333333333
Tralali-Tralala,restaurant,Paris,48.893946,2.345314,6,15,"[1, 3, 0, 2, 0, 2, 0, 4, 0, 2, 0, 1]",1.6875
Le Cardinal,restaurant,Paris,48.83742,2.257344,6,15,"[2, 1, 2, 2, 1, 0, 0, 1, 3, 0, 3, 0]",1.1875
Novotel Paris Gare de Lyon,restaurant,Paris,48.845125398432,2.3757934570312,6,15,"[1, 1, 0, 3, 1, 0, 0, 1, 1, 1, 6, 0]",2.6875
Le Paname Art Café,restaurant,Paris,48.868331562767,2.3698736812287,6,15,"[1, 0, 1, 0, 2, 0, 4, 1, 1, 1, 4, 0]",1.8541666666666667
Gaumont Alésia,attraction,Paris,48.8282,2.327371,6,15,"[1, 1, 0, 0, 2, 5, 2, 2, 0, 1, 0, 1]",1.8541666666666667
Gaumont Champs-Élysées - Ambassade,attraction,Paris,48.870419,2.306951,6,15,"[2, 1, 0, 1, 4, 4, 0, 0, 1, 0, 1, 1]",1.8541666666666667
Les Docks - Cité de la Mode et du Design,attraction,Paris,48.840839424031,2.3701822757721,6,15,"[1, 0, 1, 3, 1, 1, 2, 2, 3, 1, 0, 0]",1.0208333333333333
Aux Petits Joueurs,restaurant,Paris,48.88046,2.396036,8,14,"[1, 1, 1, 1, 3, 0, 1, 3, 0, 1, 0, 2]",0.9722222222222222
Café Louise,restaurant,Paris,48.853867,2.332068,8,14,"[2, 2, 1, 1, 1, 1, 1, 0, 1, 2, 1, 1]",0.3055555555555555
Rue du Temple,poi,Paris,48.865146690509,2.3599486363679,7,14,"[2, 0, 1, 1, 2, 0, 0, 0, 3, 0, 2, 3]",1.3055555555555556
