address,category,id,lat,lng,location,name,originalId,polarity,subCategory,numReviews,reviews,details
"Via Volturno, 13, Rome, Italy",restaurant,4092,41.904905,12.499081,Rome,Ristorante Babbos,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4092,http://tour-pedia.org/api/getPlaceDetails?id=4092
"Via Enrico Fermi, 102-104, Roma, Italia",restaurant,5339,41.864607,12.472463,Rome,Acquolina,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5339,http://tour-pedia.org/api/getPlaceDetails?id=5339
"Via degli Scipioni, 32, Rome, Italy",restaurant,8614,41.908059,12.456685,Rome,Ristorante La Caravella,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8614,http://tour-pedia.org/api/getPlaceDetails?id=8614
"Via Tagliamento, 9, Rome, Italy",attraction,128,41.91893,12.501167,Rome,Piper Club,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=128,http://tour-pedia.org/api/getPlaceDetails?id=128
"Via Appia Nuova, 1228, Rome, Italy",attraction,9455,41.823295,12.563309,Rome,Kill Joy,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=9455,http://tour-pedia.org/api/getPlaceDetails?id=9455
"Via dei Latini, 41",attraction,13837,41.896583122666,12.513852510926,Rome,Quarantuno Gradi Dj:Bar,4f31a7aee4b0951ff4ede6ae,4,Cocktail Bar,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=13837,http://tour-pedia.org/api/getPlaceDetails?id=13837
Via Emanuele Filiberto 173,accommodation,25,41.889888677386,12.506660893472,Rome,Best Western Hotel President Roma,4adcdabef964a520255121e3,4,Hotel,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=25,http://tour-pedia.org/api/getPlaceDetails?id=25
"Rome,   Italy    Via Del Gianicolo 3, Trastevere, 00165 Rome",accommodation,14519,41.898907150465,12.460883259773,Rome,Gran Melia Rome,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=14519,http://tour-pedia.org/api/getPlaceDetails?id=14519
"Rome,   Italy    Via Urbana 3, Rione Monti, 00184 Rome",accommodation,1071,41.897820083278,12.495530024171,Rome,Raffaello Hotel,,4,,11,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1071,http://tour-pedia.org/api/getPlaceDetails?id=1071
,restaurant,2467,41.919724,12.435747,Rome,Capperi,4c420246ce54e21e15fa0b1a,4,Pizza Place,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2467,http://tour-pedia.org/api/getPlaceDetails?id=2467
"Via Giovanni Bettolo, 3/A",restaurant,2017,41.911334,12.455418,Rome,Banana Republic,4c1b5a04b9f876b0050a7a46,4,Bar,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2017,http://tour-pedia.org/api/getPlaceDetails?id=2017
Via Principe Amendeo 49/51/53,restaurant,1684,41.899018950632,12.499866485596,Rome,Aquila Nera,4bfd7814b68d0f476fd5e857,4,Italian Restaurant,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1684,http://tour-pedia.org/api/getPlaceDetails?id=1684
16 Viale Parioli,restaurant,132,41.923837203789,12.490873408386,Rome,Il Cigno,4adcdac2f964a520195221e3,4,Café,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=132,http://tour-pedia.org/api/getPlaceDetails?id=132
"Viale dei Colli Portuensi, 550, Rome, Italy",restaurant,2587,41.862179,12.443421,Rome,Il Caminetto,,4,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2587,http://tour-pedia.org/api/getPlaceDetails?id=2587
"Corso Regina Maria Pia, 24, Rome, Italy",restaurant,3671,41.729967,12.283145,Rome,Golden Italy,,4,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3671,http://tour-pedia.org/api/getPlaceDetails?id=3671
"Piazza del Colosseo, 5, Rome, Italy",restaurant,7505,41.889464,12.494006,Rome,Hostaria Al Gladiatore,,4,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=7505,http://tour-pedia.org/api/getPlaceDetails?id=7505
Via Anastasio II 40,attraction,972,41.896455483306,12.439988851547,Rome,Enocentrico,4bc231f34cdfc9b627be9521,4,Wine Bar,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=972,http://tour-pedia.org/api/getPlaceDetails?id=972
Viale Paolo Seganti,attraction,402,41.9395647745,12.524937672796,Rome,Parco Delle Valli,4adcdac9f964a5204c5421e3,4,Park,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=402,http://tour-pedia.org/api/getPlaceDetails?id=402
"Rome,   Italy    Via dei Gracchi 324, Vatican City - Prati, 00192 Rome",accommodation,23,41.909479385953,12.468935251236,Rome,NH Leonardo da Vinci,,4,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=23,http://tour-pedia.org/api/getPlaceDetails?id=23
"Rome,   Italy    Via Veneto 24, Area Via Veneto, 00187 Rome",accommodation,913,41.904887186406,12.487900480628,Rome,Hotel Imperiale,,4,,12,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=913,http://tour-pedia.org/api/getPlaceDetails?id=913
"Piazzale Ostiense, 7, Rome, Italy",poi,271,41.875722,12.482399,Rome,Piramide,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=271,http://tour-pedia.org/api/getPlaceDetails?id=271
"Piazza Tarquinia, 4 a/b, Rome, Italy",restaurant,15046,41.881278,12.509901,Rome,Vintage Bistrot,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=15046,http://tour-pedia.org/api/getPlaceDetails?id=15046
"Viale Leonardo Da Vinci, 211, Rome, Italy",restaurant,1413,41.853552,12.48056,Rome,Pomodoro & Mozzarella,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1413,http://tour-pedia.org/api/getPlaceDetails?id=1413
"Via di Tor Tre Teste, 35, Roma, Italy",restaurant,2273,41.87031,12.587901,Rome,Millenium Srl,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2273,http://tour-pedia.org/api/getPlaceDetails?id=2273
"Via Fabio Massimo, 113, Rome, Italy",restaurant,5694,41.910034,12.461624,Rome,Ristorante Giapponese Sushi Wo,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5694,http://tour-pedia.org/api/getPlaceDetails?id=5694
"Viale Agosta, 39, Rome, Italy",restaurant,1481,41.891209,12.557625,Rome,Mangianapoli,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1481,http://tour-pedia.org/api/getPlaceDetails?id=1481
"Via di Priscilla, 18",restaurant,2180,41.928154302771,12.50909725526,Rome,La Casa del Cremolato,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2180,http://tour-pedia.org/api/getPlaceDetails?id=2180
Via di Torre Argentina 78,attraction,4310,41.897197296459,12.476375936387,Rome,Shari Vari,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=4310,http://tour-pedia.org/api/getPlaceDetails?id=4310
"Via Aurelia, Km8,400, Rome, Italy",accommodation,1229,41.887709,12.400384,Rome,Holiday Inn Aurelia Rome,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1229,http://tour-pedia.org/api/getPlaceDetails?id=1229
"Rome,   Italy    Via IV Novembre 104, Trevi, 00187 Rome",accommodation,62,41.896979232289,12.485139965975,Rome,Hotel Pace Helvezia,,4,,13,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=62,http://tour-pedia.org/api/getPlaceDetails?id=62
1a Viale della Trinità dei Monti,poi,295,41.908265743942,12.482432126999,Rome,Villa Medici - Accademia di Francia a Roma,4adcdac7f964a5206c5321e3,4,Monument / Landmark,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=295,http://tour-pedia.org/api/getPlaceDetails?id=295
Via degli Umbri 14,restaurant,8595,41.897608,12.51366,Rome,I Fratelli,4e09b758483b98d4171ed959,4,Italian Restaurant,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8595,http://tour-pedia.org/api/getPlaceDetails?id=8595
,restaurant,6338,41.893247566667,12.48812,Rome,Pizzeria Ristorante Imperiale,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6338,http://tour-pedia.org/api/getPlaceDetails?id=6338
Via della Magliana 210,restaurant,3121,41.849461,12.458254694939,Rome,MATTARELLO - Pizzeria Forno a Legna,4c7e2e1b6d79bfb758e29cb9,4,Italian Restaurant,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3121,http://tour-pedia.org/api/getPlaceDetails?id=3121
"Piazzale delle Provincie, 13",restaurant,633,41.90940864501,12.521335857702,Rome,Bar Stendhal,4b3cd0dff964a520b78725e3,4,Coffee Shop,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=633,http://tour-pedia.org/api/getPlaceDetails?id=633
"Via Cesare Baronio, 141a/143b, Rome, Italy",restaurant,2428,41.870852,12.518008,Rome,Gothai,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2428,http://tour-pedia.org/api/getPlaceDetails?id=2428
"Via Tripolitania, 107, Rome, Italy",restaurant,2732,41.930618,12.519684,Rome,Acqua Farina E... Srl,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2732,http://tour-pedia.org/api/getPlaceDetails?id=2732
"Via Luigi Luciani, 52, Rome, Italy",restaurant,5545,41.922371,12.480995,Rome,Ristorante Carioca,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=5545,http://tour-pedia.org/api/getPlaceDetails?id=5545
"Via Degli Scipioni, 1620, Roma, Italia",restaurant,6379,41.907967,12.456079,Rome,Da Giuliana Srl,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=6379,http://tour-pedia.org/api/getPlaceDetails?id=6379
"Via Pannonia, 22-26, Rome, Italy",restaurant,8538,41.880447,12.500965,Rome,Romolo E Remo,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=8538,http://tour-pedia.org/api/getPlaceDetails?id=8538
"Via di Sant'Agnese in Agone, 21, Rome, Italy",restaurant,10306,41.899204,12.472459,Rome,Ristorante SPQR,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=10306,http://tour-pedia.org/api/getPlaceDetails?id=10306
Via San Gregorio,attraction,258,41.889754844445,12.490618228912,Rome,Arco di Costantino,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=258,http://tour-pedia.org/api/getPlaceDetails?id=258
Piazza Guglielmo Marconi 31,attraction,1259,41.834267308615,12.470586422584,Rome,Room26,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1259,http://tour-pedia.org/api/getPlaceDetails?id=1259
"Via di Ciampino, 70, Rome, Italy",accommodation,1057,41.810525,12.58172,Rome,Hotel Palacavicchi,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1057,http://tour-pedia.org/api/getPlaceDetails?id=1057
"Viale dei Romagnoli, 165, Ostia, Rome, Italy",accommodation,1503,41.738328,12.282058,Rome,Airport Palace Hotel Rome,,4,,14,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1503,http://tour-pedia.org/api/getPlaceDetails?id=1503
"Via Giuseppe Garibaldi, 18, Rome, Italy",restaurant,2927,41.890554,12.466495,Rome,Antica Pesa,,4,,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=2927,http://tour-pedia.org/api/getPlaceDetails?id=2927
"Via Praga, 11",restaurant,3302,41.823998,12.449149,Rome,La Margherita,,4,,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3302,http://tour-pedia.org/api/getPlaceDetails?id=3302
"Via di Pietralata, 141",restaurant,3043,41.926273,12.536344528198,Rome,Bisteak,4c76ad6b604a3704161d8649,4,Steakhouse,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=3043,http://tour-pedia.org/api/getPlaceDetails?id=3043
Viale dell'Aeronautica 105,restaurant,1355,41.82622715224,12.477551792375,Rome,Il Gelato,4bd99af0e914a593961357fa,4,Ice Cream Shop,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=1355,http://tour-pedia.org/api/getPlaceDetails?id=1355
"Viale Gorizia, 38/44, Rome, Italy",restaurant,468,41.92024,12.511015,Rome,Pepe Verde,,4,,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=468,http://tour-pedia.org/api/getPlaceDetails?id=468
"Viale di Porta Ardeatina, 114, Roma, Italia",restaurant,710,41.876236,12.486041,Rome,Bisteak,,4,,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=710,http://tour-pedia.org/api/getPlaceDetails?id=710
"Via Ettore Rolli, 50, Roma, Italia",restaurant,794,41.873118,12.467475,Rome,Il Maritozzaro,,4,,15,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=794,http://tour-pedia.org/api/getPlaceDetails?id=794
